ID,Work Item Type,Title,Test Step,Step Action,Step Expected
,,,5,"Click on checkbox ""I agree to the TAP chargeback model. See details"" to submit the files.","* User cannot submit the files unless they agree to the chargeback model.                                                               *  A Submit button should be greyed out if the user does not agree to the terms.                                                   * The ""Submit"" button should become active and clickable, allowing the user to submit the files."
,,,6,Click on Submit button,User confirms submission of documents 
23184,Test Case,File Upload Counter - Positive,,,
20928,Shared Steps,,1,Applictaion Navigation_SOC Report Extractor,
,,,1.1,"Navigate to Power Apps

","Power Apps page should load successfully.

"
,,,1.3,The user clicks on the Begin button,AI Attestation pop-up is displayed
,,,1.4,The user clicks on the AGREE button in an AI Attestation pop-up,"The option should be accepted, and the user should be navigated to the request form.

"
,,,1.5,"Click on checkbox ""I agree to the TAP chargeback model. See details"" to submit the files.","* The ""Submit"" button should become active and clickable, allowing the user to submit the files."
,,,2,"Enter the required submission inputs
","Project ID, MD Email
"
,,,3,"Select and upload multiple valid files (e.g., 3 files).","The counter should increment by the number of files uploaded and display the total count (e.g., ""4 files uploaded"" after the previous file)."
,,,4,Submit the form after attaching files,"The attached files count should match the counter, and the files should be successfully included in the submission."
23159,Test Case,Terms and Conditions SOC report -Positive,,,
20928,Shared Steps,,1,Applictaion Navigation_SOC Report Extractor,
,,,1.1,"Navigate to Power Apps

","Power Apps page should load successfully.

"
,,,1.3,The user clicks on the Begin button,AI Attestation pop-up is displayed
,,,1.4,The user clicks on the AGREE button in an AI Attestation pop-up,"The option should be accepted, and the user should be navigated to the request form.

"
,,,1.5,"Click on checkbox ""I agree to the TAP chargeback model. See details"" to submit the files.","* The ""Submit"" button should become active and clickable, allowing the user to submit the files."
,,,2,"Enter Submission Inputs
","Project ID, MD Email
"
,,,3,"Attach a SOC report that has ""Agree"" or ""Disagree"" on the second page to open the full SOC report                                                                                  ",Tool should accept the SOC report and click on agree and should open the full SOC report and process the report
,,,4,"Click on Submit
","User confirms submission of documents to be Extracted
"
,,,5,"Validate the Generated Output
","Output should be generated without any issues.
"
23153,Test Case,1 Password Protected SOC report -Positive,,,
20928,Shared Steps,,1,Applictaion Navigation_SOC Report Extractor,
,,,1.1,"Navigate to Power Apps

","Power Apps page should load successfully.

"
,,,1.3,The user clicks on the Begin button,AI Attestation pop-up is displayed
,,,1.4,The user clicks on the AGREE button in an AI Attestation pop-up,"The option should be accepted, and the user should be navigated to the request form.

"
,,,1.5,"Click on checkbox ""I agree to the TAP chargeback model. See details"" to submit the files.","* The ""Submit"" button should become active and clickable, allowing the user to submit the files."
,,,2,"Enter Submission Inputs
","Project ID, MD Email
"
,,,3,Attach A password protected SOC report,User should be able to provide the password 
,,,4,"Click on Submit
","User confirms submission of documents to be Extracted
"
,,,5,Output should be provided to the user,Output should be shared with the user
